month,hour,price_eur_mwh,year,year_baseload
6,21,90.14933333333332,2021,100.662
6,22,85.19366666666666,2021,100.662
6,23,77.49600000000001,2021,100.662
7,0,79.68548387096776,2021,100.662
7,1,73.96096774193548,2021,100.662
7,2,70.8009677419355,2021,100.662
7,3,68.94645161290323,2021,100.662
7,4,68.58290322580646,2021,100.662
7,5,71.81548387096774,2021,100.662
7,6,84.0783870967742,2021,100.662
7,7,92.34387096774194,2021,100.662
7,8,94.53580645161291,2021,100.662
7,9,89.59677419354838,2021,100.662
7,10,85.1058064516129,2021,100.662
7,11,85.82903225806452,2021,100.662
7,12,85.57193548387097,2021,100.662
7,13,83.01,2021,100.662
7,14,78.93483870967741,2021,100.662
7,15,80.96096774193549,2021,100.662
7,16,82.4025806451613,2021,100.662
7,17,84.53064516129031,2021,100.662
7,18,93.06612903225805,2021,100.662
7,19,101.9916129032258,2021,100.662
7,20,103.10387096774194,2021,100.662
7,21,99.73870967741935,2021,100.662
7,22,95.93129032258062,2021,100.662
7,23,87.22967741935481,2021,100.662
8,0,75.75903225806451,2021,100.662
8,1,71.37290322580645,2021,100.662
8,2,68.70677419354838,2021,100.662
8,3,66.22419354838709,2021,100.662
8,4,67.18129032258065,2021,100.662
8,5,71.32000000000001,2021,100.662
8,6,84.88483870967742,2021,100.662
8,7,96.2825806451613,2021,100.662
8,8,99.49419354838712,2021,100.662
8,9,93.52,2021,100.662
8,10,88.2141935483871,2021,100.662
8,11,85.38612903225807,2021,100.662
8,12,83.12741935483874,2021,100.662
8,13,78.51225806451613,2021,100.662
8,14,74.45774193548385,2021,100.662
8,15,75.5758064516129,2021,100.662
8,16,77.53516129032259,2021,100.662
8,17,87.38387096774193,2021,100.662
8,18,97.89806451612903,2021,100.662
8,19,106.96096774193546,2021,100.662
8,20,108.37225806451615,2021,100.662
8,21,101.42258064516129,2021,100.662
8,22,94.08967741935484,2021,100.662
8,23,83.41483870967744,2021,100.662
9,0,110.40466666666667,2021,100.662
9,1,104.68033333333332,2021,100.662
9,2,100.22499999999998,2021,100.662
9,3,98.03066666666669,2021,100.662
9,4,99.37333333333335,2021,100.662
9,5,107.66199999999998,2021,100.662
9,6,137.465,2021,100.662
9,7,153.90800000000002,2021,100.662
9,8,158.39,2021,100.662
9,9,147.05466666666663,2021,100.662
9,10,136.75466666666668,2021,100.662
9,11,127.95666666666668,2021,100.662
9,12,119.24466666666666,2021,100.662
9,13,112.05600000000001,2021,100.662
9,14,109.92433333333332,2021,100.662
9,15,116.85800000000002,2021,100.662
9,16,124.70933333333332,2021,100.662
9,17,144.672,2021,100.662
9,18,164.1583333333333,2021,100.662
9,19,179.50900000000001,2021,100.662
9,20,169.46399999999997,2021,100.662
9,21,146.641,2021,100.662
9,22,131.60933333333335,2021,100.662
9,23,113.17100000000003,2021,100.662
10,0,101.2874193548387,2021,100.662
10,1,99.96677419354839,2021,100.662
10,2,93.2903125,2021,100.662
10,3,89.02774193548387,2021,100.662
10,4,93.2341935483871,2021,100.662
10,5,105.18161290322581,2021,100.662
10,6,143.93548387096772,2021,100.662
10,7,179.10064516129034,2021,100.662
10,8,193.62129032258065,2021,100.662
10,9,176.95741935483872,2021,100.662
10,10,157.1970967741935,2021,100.662
10,11,143.30064516129033,2021,100.662
10,12,129.84387096774194,2021,100.662
10,13,122.37193548387097,2021,100.662
10,14,120.00967741935484,2021,100.662
10,15,130.7335483870968,2021,100.662
10,16,149.58129032258063,2021,100.662
10,17,180.38225806451618,2021,100.662
10,18,203.45225806451612,2021,100.662
10,19,211.55935483870968,2021,100.662
10,20,176.43935483870968,2021,100.662
10,21,147.0525806451613,2021,100.662
10,22,127.06032258064516,2021,100.662
10,23,100.68612903225807,2021,100.662
11,0,127.62066666666666,2021,100.662
11,1,125.79,2021,100.662
11,2,123.66566666666664,2021,100.662
11,3,121.2996666666667,2021,100.662
11,4,126.01566666666666,2021,100.662
11,5,133.54733333333334,2021,100.662
11,6,165.41266666666664,2021,100.662
11,7,203.09000000000003,2021,100.662
11,8,214.818,2021,100.662
11,9,210.14166666666668,2021,100.662
11,10,204.54466666666667,2021,100.662
11,11,201.13933333333335,2021,100.662
11,12,198.4453333333333,2021,100.662
11,13,196.36166666666665,2021,100.662
11,14,201.58033333333333,2021,100.662
11,15,214.552,2021,100.662
11,16,223.25833333333333,2021,100.662
11,17,246.91266666666667,2021,100.662
11,18,238.825,2021,100.662
11,19,215.38533333333334,2021,100.662
11,20,190.60033333333337,2021,100.662
11,21,161.91966666666667,2021,100.662
11,22,150.50866666666667,2021,100.662
11,23,129.65466666666669,2021,100.662
12,0,164.58225806451614,2021,100.662
12,1,151.00032258064516,2021,100.662
12,2,139.98193548387098,2021,100.662
12,3,130.7983870967742,2021,100.662
12,4,143.77774193548387,2021,100.662
12,5,165.31354838709674,2021,100.662
12,6,202.84612903225803,2021,100.662
12,7,250.6622580645161,2021,100.662
12,8,270.81967741935483,2021,100.662
12,9,277.703870967742,2021,100.662
12,10,272.8964516129033,2021,100.662
12,11,275.8164516129032,2021,100.662
12,12,266.2938709677419,2021,100.662
12,13,262.6258064516129,2021,100.662
12,14,268.4296774193549,2021,100.662
12,15,278.81774193548387,2021,100.662
12,16,291.8916129032258,2021,100.662
12,17,307.3035483870967,2021,100.662
12,18,293.0745161290323,2021,100.662
12,19,271.22129032258067,2021,100.662
12,20,245.2864516129032,2021,100.662
12,21,210.46516129032258,2021,100.662
12,22,194.81193548387097,2021,100.662
12,23,152.18387096774194,2021,100.662
1,0,138.11903225806452,2022,247.434
1,1,135.32032258064518,2022,247.434
1,2,133.80709677419355,2022,247.434
1,3,128.83290322580646,2022,247.434
1,4,130.07903225806453,2022,247.434
1,5,143.27419354838713,2022,247.434
1,6,168.59354838709677,2022,247.434
1,7,196.72161290322586,2022,247.434
1,8,210.7222580645161,2022,247.434
1,9,212.97096774193554,2022,247.434
1,10,201.82870967741934,2022,247.434
1,11,198.16838709677415,2022,247.434
1,12,190.46806451612903,2022,247.434
1,13,183.91096774193548,2022,247.434
1,14,186.7248387096774,2022,247.434
1,15,201.9790322580645,2022,247.434
1,16,210.14999999999998,2022,247.434
1,17,229.9567741935484,2022,247.434
1,18,225.771935483871,2022,247.434
1,19,212.04161290322577,2022,247.434
1,20,194.83354838709678,2022,247.434
1,21,171.83064516129033,2022,247.434
1,22,162.4767741935484,2022,247.434
1,23,141.21451612903226,2022,247.434
2,0,126.00428571428573,2022,247.434
2,1,123.51249999999997,2022,247.434
2,2,121.71464285714288,2022,247.434
2,3,119.72928571428572,2022,247.434
2,4,123.32428571428572,2022,247.434
2,5,137.34964285714287,2022,247.434
2,6,167.26678571428573,2022,247.434
2,7,186.5425,2022,247.434
2,8,188.5010714285714,2022,247.434
2,9,173.04250000000002,2022,247.434
2,10,159.39714285714285,2022,247.434
2,11,153.43928571428572,2022,247.434
